Number	Epsilon

216	1.5
432	1.5
648	1.5
864	1.5
1080	1.5
1296	2.0
1512	1.5
1728	1.5
1944	1.5
2160	1.5
2376	1.5
2592	2.0
2808	1.5
3024	1.5
3240	1.5
3456	1.5
3672	1.5
3888	2.0
4104	1.5
4320	1.5
4536	1.5
4752	1.5
4968	1.5
5184	2.0
5400	1.5
5616	1.5
5832	1.5
6048	1.5
6264	1.5
6480	2.0
6696	1.5
6912	1.5
7128	1.5
7344	1.5
7560	1.5
7776	2.5
7992	1.5
8208	1.5
8424	1.5
8640	1.5
8856	1.5
9072	2.0
9288	1.5
9504	1.5
9720	1.5
9936	1.5
10152	1.5
10368	2.0
10584	1.5
10800	1.5
11016	1.5
11232	1.5
11448	1.5
11664	2.0
11880	1.5
12096	1.5
12312	1.5
12528	1.5
12744	1.5
12960	2.0
13176	1.5
13392	1.5
13608	1.5
13824	1.5
14040	1.5
14256	2.0
14472	1.5
14688	1.5
14904	1.5
15120	1.5
15336	1.5
15552	2.5
15768	1.5
15984	1.5
16200	1.5
16416	1.5
16632	1.5
16848	2.0
17064	1.5
17280	1.5
17496	1.5
17712	1.5
17928	1.5
18144	2.0
18360	1.5
18576	1.5
18792	1.5
19008	1.5
19224	1.5
19440	2.0
19656	1.5
19872	1.5
20088	1.5
20304	1.5
20520	1.5
20736	2.0
20952	1.5
21168	1.5
21384	1.5
21600	1.5
21816	1.5
22032	2.0
22248	1.5
22464	1.5
22680	1.5
22896	1.5
23112	1.5
23328	2.5
23544	1.5
23760	1.5
23976	1.5
24192	1.5
24408	1.5
24624	2.0
24840	1.5
25056	1.5
25272	1.5
25488	1.5
25704	1.5
25920	2.0
26136	1.5
26352	1.5
26568	1.5
26784	1.5
27000	1.5
27216	2.0
27432	1.5
27648	1.5
27864	1.5
28080	1.5
28296	1.5
28512	2.0
28728	1.5
28944	1.5
29160	1.5
29376	1.5
29592	1.5
29808	2.0
30024	1.5
30240	1.5
30456	1.5
30672	1.5
30888	1.5
31104	2.5
31320	1.5
31536	1.5
31752	1.5
31968	1.5
32184	1.5
32400	2.0
32616	1.5
32832	1.5
33048	1.5
33264	1.5
33480	1.5
33696	2.0
33912	1.5
34128	1.5
34344	1.5
34560	1.5
34776	1.5
34992	2.0
35208	1.5
35424	1.5
35640	1.5
35856	1.5
36072	1.5
36288	2.0
36504	1.5
36720	1.5
36936	1.5
37152	1.5
37368	1.5
37584	2.0
37800	1.5
38016	1.5
38232	1.5
38448	1.5
38664	1.5
38880	2.5
39096	1.5
39312	1.5
39528	1.5
39744	1.5
39960	1.5
40176	2.0
40392	1.5
40608	1.5
40824	1.5
41040	1.5
41256	1.5
41472	2.0
41688	1.5
41904	1.5
42120	1.5
42336	1.5
42552	1.5
42768	2.0
42984	1.5
43200	1.5
43416	1.5
43632	1.5
43848	1.5
44064	2.0
44280	1.5
44496	1.5
44712	1.5
44928	1.5
45144	1.5
45360	2.0
45576	1.5
45792	1.5
46008	1.5
46224	1.5
46440	1.5
46656	3.0
46872	1.5
47088	1.5
47304	1.5
47520	1.5
47736	1.5
47952	2.0
48168	1.5
48384	1.5
48600	1.5
48816	1.5
49032	1.5
49248	2.0
49464	1.5
49680	1.5
49896	1.5
50112	1.5
50328	1.5
50544	2.0
50760	1.5
50976	1.5
51192	1.5
51408	1.5
51624	1.5
51840	2.0
52056	1.5
52272	1.5
52488	1.5
52704	1.5
52920	1.5
53136	2.0
53352	1.5
53568	1.5
53784	1.5
54000	1.5
54216	1.5
54432	2.5
54648	1.5
54864	1.5
55080	1.5
55296	1.5
55512	1.5
55728	2.0
55944	1.5
56160	1.5
56376	1.5
56592	1.5
56808	1.5
57024	2.0
57240	1.5
57456	1.5
57672	1.5
57888	1.5
58104	1.5
58320	2.0
58536	1.5
58752	1.5
58968	1.5
59184	1.5
59400	1.5
59616	2.0
59832	1.5
60048	1.5
60264	1.5
60480	1.5
60696	1.5
60912	2.0
61128	1.5
61344	1.5
61560	1.5
61776	1.5
61992	1.5
62208	2.5
62424	1.5
62640	1.5
62856	1.5
63072	1.5
63288	1.5
63504	2.0
63720	1.5
63936	1.5
64152	1.5
64368	1.5
64584	1.5
64800	2.0
65016	1.5
65232	1.5
65448	1.5
65664	1.5
65880	1.5
66096	2.0
66312	1.5
66528	1.5
66744	1.5
66960	1.5
67176	1.5
67392	2.0
67608	1.5
67824	1.5
68040	1.5
68256	1.5
68472	1.5
68688	2.0
68904	1.5
69120	1.5
69336	1.5
69552	1.5
69768	1.5
69984	2.5
70200	1.5
70416	1.5
70632	1.5
70848	1.5
71064	1.5
71280	2.0
71496	1.5
71712	1.5
71928	1.5
72144	1.5
72360	1.5
72576	2.0
72792	1.5
73008	1.5
73224	1.5
73440	1.5
73656	1.5
73872	2.0
74088	1.5
74304	1.5
74520	1.5
74736	1.5
74952	1.5
75168	2.0
75384	1.5
75600	1.5
75816	1.5
76032	1.5
76248	1.5
76464	2.0
76680	1.5
76896	1.5
77112	1.5
77328	1.5
77544	1.5
77760	2.5
77976	1.5
78192	1.5
78408	1.5
78624	1.5
78840	1.5
79056	2.0
79272	1.5
79488	1.5
79704	1.5
79920	1.5
80136	1.5
80352	2.0
80568	1.5
80784	1.5
81000	1.5
81216	1.5
81432	1.5
81648	2.0
81864	1.5
82080	1.5
82296	1.5
82512	1.5
82728	1.5
82944	2.0
83160	1.5
83376	1.5
83592	1.5
83808	1.5
84024	1.5
84240	2.0
84456	1.5
84672	1.5
84888	1.5
85104	1.5
85320	1.5
85536	2.5
85752	1.5
85968	1.5
86184	1.5
86400	1.5
86616	1.5
86832	2.0
87048	1.5
87264	1.5
87480	1.5
87696	1.5
87912	1.5
88128	2.0
88344	1.5
88560	1.5
88776	1.5
88992	1.5
89208	1.5
89424	2.0
89640	1.5
89856	1.5
90072	1.5
90288	1.5
90504	1.5
90720	2.0
90936	1.5
91152	1.5
91368	1.5
91584	1.5
91800	1.5
92016	2.0
92232	1.5
92448	1.5
92664	1.5
92880	1.5
93096	1.5
93312	3.0
93528	1.5
93744	1.5
93960	1.5
94176	1.5
94392	1.5
94608	2.0
94824	1.5
95040	1.5
95256	1.5
95472	1.5
95688	1.5
95904	2.0
96120	1.5
96336	1.5
96552	1.5
96768	1.5
96984	1.5
97200	2.0
97416	1.5
97632	1.5
97848	1.5
98064	1.5
98280	1.5
98496	2.0
98712	1.5
98928	1.5
99144	1.5
99360	1.5
99576	1.5
99792	2.0
